Identifier,Disease
hyper-igm syndrome type 2,{DOID:0060758}
hyper-igm syndrome type 4,{DOID:0060760}
obsolete lupus vulgaris,{DOID:5380}
branchiooculofacial syndrome,{DOID:0050691}
spinal cord glioma,{DOID:3185}
pancreatic acinar cell cystadenocarcinoma,{DOID:7729}
eccrine ductal carcinoma,{DOID:5570}
hemangioma of breast,{DOID:476}
mixed mullerian sarcoma of uterus,{DOID:6171}
retinitis pigmentosa 56,{DOID:0110371}
simple partial epilepsy,{DOID:5129}
tuberous sclerosis syndrome,{DOID:13515}
vertebro-basilar insufficiency,{DOID:13003}
loose anagen syndrome,{DOID:0111702}
secondary syphilis,{DOID:4157}
jen-nh,{DOID:0060738}
hodgkin's sarcoma of intra-abdominal lymph nodes,{DOID:8667}
"microcephalic osteodysplastic dysplasia, saul-wilson type",{DOID:0111673}
opioid type dependence,{DOID:2559}
childhood spinal muscular atrophy,{DOID:0060160}
hyperalphalipoproteinemia 1,{DOID:0111369}
"emery-dreifuss muscular dystrophy 2, autosomal dominant",{DOID:0070247}
tetraplegic infantile cerebral palsy,{DOID:10970}
rheumatoid arthritis,{DOID:7148}
retinitis pigmentosa 51,{DOID:0110398}
ross river virus disease,{DOID:0050518}
angelucci's syndrome,{DOID:11203}
obsessive compulsive disorder,{DOID:10933}
transvestism,{DOID:1233}
malignant neoplasm of the parotid,{DOID:9036}
mabry disease,{DOID:0070431}
pilar sheath acanthoma,{DOID:4322}
hyperorexia nervosa,{DOID:12129}
pigmentation disease,{DOID:10123}
hereditary wilms' tumor,{DOID:5183}
yaba,{DOID:8956}
periventricular nodular heterotopia,{DOID:0050454}
carcinoma of oesophagus,{DOID:1107}
autosomal recessive amelogenesis imperfecta hypocalcification type,{DOID:0111722}
obsolete coagulation factor deficiency,{DOID:2232}
bola3 deficiency,{DOID:0080134}
obsolete relapsed precursor t lymphoblastic lymphoma/leukemia,{DOID:6802}
obsolete leukemic reticuloendotheliosis of intra-abdominal lymph nodes,{DOID:283}
paralytic ileus,{DOID:8442}
obsolete tonsillar aspergillosis,{DOID:0050074}
familial spinal neurofibromatosis,{DOID:0070482}
daiid,{DOID:0111610}
daiib,{DOID:0111608}
spasmodic torticollis,{DOID:0050840}
small intestinal carcinoma,{DOID:4907}
crystal arthropathy of multiple sites,{DOID:829}
sturge-weber-krabbe angiomatosis,{DOID:0111563}
residual stage of open angle glaucoma,{DOID:1066}
histoplasma capsulatum endocarditis,{DOID:12245}
anophthalmia clinical with associated anomalies,{DOID:0111801}
blepharoptosis,{DOID:0060260}
obsolete leiomyosarcoma nonmetastatic,{DOID:5255}
obsolete bovine trypanosomiasis,{DOID:13762}
neonatal respiratory distress syndrome,{DOID:12716}
tetra-amelia with pulmonary hypoplasia,{DOID:0112193}
pghs1 deficiency,{DOID:0111058}
chromosome 4p16.3 deletion syndrome,{DOID:0050460}
familial primary hyperparathyroidism,{DOID:11202}
dhmn with upper motor neuron signs,{DOID:0060196}
maxillary sinus adenocarcinoma,{DOID:7684}
prepuce cancer,{DOID:13168}
multicentric giant lymph node hyperplasia,{DOID:0111152}
neuroendocrine tumor of anus,{DOID:5545}
obsolete uncinaria stenocephala infectious disease,{DOID:0050255}
psychogenic tics,{DOID:11119}
isolated congenital sclerocornea,{DOID:0060252}
autosomal recessive axonal charcot-marie-tooth type 2s,{DOID:0110171}
distal 10q deletion syndrome,{DOID:0060390}
"yellow fever, sylvan",{DOID:9682}
cayman type cerebellar ataxia,{DOID:0060694}
smooth muscle tumor,{DOID:4310}
distal hereditary motor neuropathy type viii,{DOID:0111215}
spinal polio,{DOID:0050513}
distal hereditary motor neuropathy type viia,{DOID:0111201}
distal hereditary motor neuropathy type viib,{DOID:0111202}
"seizures, sensorineural deafness, ataxia, mental retardation and electrolyte imbalance",{DOID:0060484}
autosomal dominant osteosclerosis,{DOID:0080037}
aberfeld syndrome,{DOID:0090005}
acro-dermato-ungual-lacrimal-tooth syndrome,{DOID:0050601}
