Identifier,Disease
DOID:0080337,mitochondrial dna depletion syndrome 15
DOID:3125,multiple endocrine neoplasia
DOID:3127,proctitis
DOID:3121,gallbladder cancer
DOID:3120,gallbladder papillomatosis
DOID:0080330,cold-induced sweating syndrome 2
DOID:3122,gastric outlet obstruction
DOID:3128,anus disease
DOID:2838,stress polycythemia
DOID:2839,erythropoietin polycythemia
DOID:0070192,autosomal recessive chronic granulomatous disease 1
DOID:2832,geotrichosis
DOID:2833,dehydration polycythemia
DOID:2834,acquired polycythemia
DOID:2835,polycythemia due to hypoxia
DOID:0070190,obsolete autosomal dominant chronic granulomatous disease
DOID:0080331,cold-induced sweating syndrome 3
DOID:12879,obsolete pars plana exudative cyst
DOID:0070197,distal myopathy 1
DOID:0070196,infantile-onset distal myopathy
DOID:11379,gnathomiasis
DOID:0070195,x-linked chronic granulomatous disease
DOID:11371,functional diarrhea
DOID:11372,megacolon
DOID:0070194,autosomal recessive chronic granulomatous disease 3
DOID:11374,anal spasm
DOID:11377,obsolete calculus of gallbladder and bile duct with acute cholecystitis
DOID:0070045,coffin-siris syndrome 3
DOID:0070044,coffin-siris syndrome 2
DOID:0070047,schuurs-hoeijmakers syndrome
DOID:0070046,coffin-siris syndrome 4
DOID:0070041,autosomal dominant intellectual developmental disorder 11
DOID:0070040,autosomal dominant intellectual developmental disorder 10
DOID:0070043,autosomal dominant intellectual developmental disorder 13
DOID:0070042,coffin-siris syndrome 1
DOID:0070049,autosomal dominant intellectual developmental disorder 19
DOID:0070048,gand syndrome
DOID:0110732,neuronal ceroid lipofuscinosis 11
DOID:0110733,neuronal ceroid lipofuscinosis 9
DOID:0110730,neuronal ceroid lipofuscinosis 6b
DOID:0110731,neuronal ceroid lipofuscinosis 3
DOID:0110736,neurodegeneration with brain iron accumulation 2b
DOID:0110737,neurodegeneration with brain iron accumulation 3
DOID:0110734,neurodegeneration with brain iron accumulation
DOID:0110735,neurodegeneration with brain iron accumulation 2a
DOID:0110738,neurodegeneration with brain iron accumulation 4
DOID:0110739,neurodegeneration with brain iron accumulation 5
DOID:7712,obsolete recurrent adult soft tissue sarcoma
DOID:7713,tuberculum sellae meningioma
DOID:7242,uterine corpus cellular leiomyoma
DOID:7716,mixed ductal-endocrine carcinoma
DOID:7717,colloid carcinoma of the pancreas
DOID:7246,lymphoepithelioma-like acinar prostate adenocarcinoma
DOID:7718,osteoclast-like giant cell neoplasm of the pancreas
DOID:11217,chronic tympanitis
DOID:14336,estrogen excess
DOID:11215,obsolete premature rupture of the fetal membranes
DOID:11213,acute contagious conjunctivitis
DOID:11212,hydrophthalmos
DOID:11211,buphthalmos
DOID:14330,parkinson's disease
DOID:11219,conjunctival folliculosis
DOID:14338,obsolete pseudomonal pneumonia
DOID:0060116,sensory system cancer
DOID:0060117,peritoneal benign neoplasm
DOID:0060114,vaginal benign neoplasm
DOID:0060115,nervous system benign neoplasm
DOID:0060112,ovarian benign neoplasm
DOID:0060110,cervical benign neoplasm
DOID:0060111,fallopian tube benign neoplasm
DOID:8892,pityriasis rosea
DOID:8893,psoriasis
DOID:0060118,thoracic disease
DOID:0060119,pharynx cancer
DOID:47,prostate disease
DOID:8545,malignant hyperthermia
DOID:8542,"obsolete hodgkin's lymphoma, lymphocytic-histiocytic predominance involving lymph nodes of axilla and upper limb"
DOID:8543,"hodgkin's lymphoma, lymphocytic-histiocytic predominance"
DOID:8540,"obsolete sezary's disease involving lymph nodes of head, face, and neck"
DOID:8541,sezary's disease
DOID:3419,optic nerve neoplasm
DOID:48,male reproductive system disease
DOID:8549,chronic ulcer of skin
DOID:0070456,hereditary spastic paraplegia 87
DOID:0080977,aortic valve disease 3
DOID:0070454,hereditary spastic paraplegia 70
DOID:0070455,hereditary spastic paraplegia 79a
DOID:0070452,xanthinuria type i
DOID:0070453,xanthinuria type ii
DOID:0070450,mitochondrial dna depletion syndrome 19
DOID:0070451,mitochondrial dna depletion syndrome 20
DOID:0070458,hereditary spastic paraplegia 89
DOID:0070459,hereditary spastic paraplegia 90a
DOID:10294,obsolete intermittent monocular esotropia
DOID:10295,obsolete monocular esotropia with a pattern
DOID:10296,obsolete monocular esotropia with v pattern
DOID:10290,prostate lymphoma
DOID:10293,monocular esotropia
DOID:0090120,hereditary neutrophilia
DOID:0090121,obsolete apparent mineralocorticoid excess
DOID:0090122,aromatase excess syndrome
DOID:0090123,aromatic l-amino acid decarboxylase deficiency
DOID:0090124,neurogenic-type arthrogryposis multiplex congenita-2
DOID:0090125,brain small vessel disease 1
DOID:0090126,branched-chain keto acid dehydrogenase kinase deficiency
DOID:0090127,camptodactyly-arthropathy-coxa vara-pericarditis syndrome
DOID:0090128,carvajal syndrome
DOID:0090129,carnitine palmitoyltransferase i deficiency
DOID:0080338,familial erythrocytosis 3
DOID:1712,aortic valve stenosis
DOID:1713,benign shuddering attacks
DOID:0080339,familial erythrocytosis 4
DOID:0050236,obsolete heterolobosea infectious disease
DOID:1882,atrial heart septal defect
DOID:11964,obsolete histoplasma capsulatum retinitis
DOID:11963,esophagitis
DOID:11968,postmenopausal atrophic vaginitis
DOID:0050296,obsolete asfarviridae infectious disease
DOID:0050297,obsolete primary francisellaceae infectious disease
DOID:0050294,obsolete scytalidium hyalinum infectious disease
DOID:0050295,obsolete cutaneous sporotrichosis
DOID:0050292,primary systemic mycosis
DOID:0050293,obsolete scopulariopsis brevicaulis infectious disease
DOID:0050290,trichosporonosis
DOID:0050291,parasitic ichthyosporea infectious disease
DOID:0050298,obsolete adenovirus infectious disease
DOID:0050299,obsolete simplexvirus infectious disease
DOID:11752,acute endophthalmitis
DOID:11155,hypohidrosis
DOID:0110593,autosomal dominant nonsyndromic deafness 9
DOID:6857,pineal region mature teratoma
DOID:13185,esophageal diverticulosis
DOID:0050722,phgdh deficiency
DOID:13186,megaesophagus
DOID:0050231,obsolete hepatic capillariasis
DOID:13189,gout
DOID:0050232,obsolete pulmonary capillariasis
DOID:12594,potter's syndrome
DOID:0050233,obsolete balamuthia mandrillaris infectious disease
DOID:4898,obsolete adenocarcinoma in a polyp
DOID:1886,obsolete flaviviridae infectious disease
DOID:4726,obsolete anterior synechiae
DOID:4895,rete ovarii benign neoplasm
DOID:4724,brain edema
DOID:4725,obsolete neck neoplasm
DOID:4890,juvenile myoclonic epilepsy
DOID:4723,intracranial hypotension
DOID:4892,middle ear adenocarcinoma
DOID:4893,middle ear carcinoma
DOID:0050878,obsolete clone of congenital afibrinogenemia
DOID:0050879,fragile x-associated tremor/ataxia syndrome
DOID:0050724,psph deficiency
DOID:3718,obsolete arterivirus infectious disease
DOID:0050872,large cell neuroendocrine carcinoma
DOID:0050873,follicular lymphoma
DOID:0050870,pulmonary adenocarcinoma in situ
DOID:0050871,fibroma
DOID:0050876,caroli disease
DOID:0050877,pancreatic agenesis
DOID:3710,bladder colloid adenocarcinoma
DOID:0050875,obsolete small cell neuroendocrine carcinoma of the lung
DOID:0040046,nickel allergic contact dermatitis
DOID:1978,obsolete juxtapapillary focal choroiditis and chorioretinitis
DOID:1979,focal chorioretinitis
DOID:13239,internal pathological resorption
DOID:9993,hypoglycemia
DOID:1974,adenosarcoma
DOID:1975,thymus lipoma
DOID:1977,obsolete lipoma of the mediastinum
DOID:1970,fallopian tube carcinosarcoma
DOID:0040044,methyl isocyanate allergic asthma
DOID:5411,lung oat cell carcinoma
DOID:1973,fallopian tube adenosarcoma
DOID:0040045,nickel allergic asthma
DOID:0040042,"diphenylmethane-4,4'-diisocyanate allergic asthma"
DOID:12043,kernicterus due to isoimmunization
DOID:12064,mediastinum neurofibroma
DOID:12040,obsolete immune hydrops fetalis
DOID:0081319,multiple synostoses syndrome 3
DOID:0081318,multiple synostoses syndrome 2
DOID:4092,obsolete vesicular exanthema of swine
DOID:9717,hydrops of gallbladder
DOID:0081315,central nervous system tumor with bcor internal tandem duplication
DOID:0081314,extraventricular neurocytoma
DOID:0081317,multiple synostoses syndrome 1
DOID:0081316,"primary intracranial sarcoma, dicer1-mutant"
DOID:0081311,intravascular large b-cell lymphoma
DOID:0081310,grade iii lymphomatoid granulomatosis
DOID:0081313,primary diffuse large b-cell lymphoma of the central nervous system
DOID:0081312,t-cell non-hodgkin lymphoma
DOID:0070218,familial hyperinsulinemic hypoglycemia 2
DOID:0070219,familial hyperinsulinemic hypoglycemia 1
DOID:11584,obsolete acute schizophrenic episode in remission
DOID:10611,protein-losing enteropathy
DOID:11582,obsolete syphilitic aortitis
DOID:11581,phlyctenulosis
DOID:3827,congenital diaphragmatic hernia
DOID:0070210,hereditary lymphedema ia
DOID:0070211,hereditary lymphedema ib
DOID:0070212,hereditary lymphedema i
DOID:0070213,hereditary lymphedema ii
DOID:0070214,familial hyperinsulinemic hypoglycemia 7
DOID:0070215,familial hyperinsulinemic hypoglycemia 4
DOID:0070216,familial hyperinsulinemic hypoglycemia 3
DOID:0070217,familial hyperinsulinemic hypoglycemia 6
DOID:10808,gastric ulcer
DOID:0050902,medulloblastoma
DOID:0050903,parietal lobe ependymoma
DOID:3044,food allergy
DOID:0080194,carey-fineman-ziter syndrome
DOID:0080195,marinesco-sjogren syndrome
DOID:0080196,"mandibulofacial dysostosis, guion-almeida type"
DOID:0080197,congenital muscular dystrophy with cataracts and intellectual disability
DOID:0080190,malignant epithelioid hemangioendothelioma
DOID:0080191,pten hamartoma tumor syndrome
DOID:0080192,relapsed/refractory diffuse large b-cell lymphoma
DOID:0080193,superior semicircular canal dehiscence
DOID:11701,selective iga deficiency disease
DOID:0080198,infantile histiocytoid cardiomyopathy
DOID:0080199,colorectal carcinoma
DOID:2441,frontal sinus squamous cell carcinoma
DOID:8392,reticular pattern testicular yolk sac tumor
DOID:8390,obsolete mixed choriocarcinoma and seminoma of the testis
DOID:2444,hyperpituitarism
DOID:2999,granulosa cell tumor
DOID:2446,obsolete gigantism
DOID:2449,acromegaly
DOID:2996,mixed germ cell-sex cord neoplasm
DOID:2995,obsolete ovarian mixed germ cell-sex cord neoplasm
DOID:2994,germ cell cancer
DOID:2992,prostate neuroendocrine neoplasm
DOID:2991,obsolete stromal neoplasm
DOID:2990,obsolete tumor of specialized prostatic stroma
DOID:10764,obsolete liver abscess and sequelae of chronic liver disease
DOID:10760,obsolete choroidal rupture
DOID:10762,portal hypertension
DOID:10763,hypertension
DOID:6103,thoracic spinal canal and spinal cord meningioma
DOID:5153,atypical neurofibroma
DOID:1103,obsolete malignant esophageal neoplasm by topographic region
DOID:2664,sweat gland benign neoplasm
DOID:2667,obsolete benign mesenchymoma
DOID:13133,hellp syndrome
DOID:2661,myoepithelioma
DOID:2660,cystic teratoma
DOID:5526,middle ear squamous cell carcinoma
DOID:1105,obsolete esophageal metastasis
DOID:2669,pacinian tumor
DOID:2668,mesenchymoma
DOID:13135,exophthalmic ophthalmoplegia
DOID:13564,aspergillosis
DOID:7018,obsolete secondary malignant neoplasm to the adult brain
DOID:7015,obsolete deep fatty neoplasm
DOID:7014,infiltrating lipoma
DOID:7017,lumbosacral lipoma
DOID:7016,tendon sheath lipoma
DOID:7011,obsolete recurrent thyroid carcinoma
DOID:7013,ovarian mucinous cystadenofibroma
DOID:7012,obsolete anaplastic thyroid carcinoma
DOID:1109,obsolete extracutaneous melanoma
DOID:0111108,maturity-onset diabetes of the young type 10
DOID:0111109,maturity-onset diabetes of the young type 11
DOID:5521,keratinizing squamous cell carcinoma
DOID:13139,crescentic glomerulonephritis
DOID:0111102,maturity-onset diabetes of the young type 3
DOID:0111103,maturity-onset diabetes of the young type 4
DOID:0111100,maturity-onset diabetes of the young type 2
DOID:0111101,maturity-onset diabetes of the young type 5
DOID:0111106,maturity-onset diabetes of the young type 7
DOID:0111107,maturity-onset diabetes of the young type 9
DOID:0111104,maturity-onset diabetes of the young type 6
DOID:0111105,maturity-onset diabetes of the young type 8
DOID:0110505,autosomal recessive nonsyndromic deafness 48
DOID:0110504,autosomal recessive nonsyndromic deafness 47
DOID:0110507,autosomal recessive nonsyndromic deafness 5
DOID:0110506,autosomal recessive nonsyndromic deafness 49
DOID:0110501,autosomal recessive nonsyndromic deafness 44
DOID:0110500,autosomal recessive nonsyndromic deafness 42
DOID:0110503,autosomal recessive nonsyndromic deafness 46
DOID:0110502,autosomal recessive nonsyndromic deafness 45
DOID:8977,"obsolete malignant histiocytosis involving lymph nodes of head, face, and neck"
DOID:8976,obsolete peripheral lymph node tuberculosis
DOID:8097,bladder hepatoid adenocarcinoma
DOID:8973,"obsolete hodgkin's lymphoma, mixed cellularity, involving lymph nodes of multiple sites"
DOID:0110508,autosomal recessive nonsyndromic deafness 51
DOID:8970,subacute sclerosing panencephalitis
DOID:622,obsolete lentivirus infectious disease
DOID:0111137,congenital generalized lipodystrophy type 3
DOID:620,blood protein disease
DOID:621,obsolete simian acquired immunodeficiency syndrome
DOID:626,complement deficiency
DOID:627,severe combined immunodeficiency
DOID:624,transient hypogammaglobulinemia of infancy
DOID:625,transient hypogammaglobulinemia
DOID:10354,breast fibrocystic disease
DOID:628,combined t cell and b cell immunodeficiency
DOID:629,obsolete congenital disorder of natural immunity
DOID:10351,obsolete mammary duct ectasia
DOID:10350,breast cyst
